Order,Family,Genus,Species,Binomial name,Extinct or extant,Island endemicity: Strict definition,IslandEndemic_strict,Island endemicity: Classical definition,IslandEndemic_classic,,,,,,,,,,,
DIPROTODONTIA,ACROBATIDAE,Distoechurus,pennatus,Distoechurus_pennatus,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,ARCHAEOLEMURIDAE,Archaeolemur,edwardsi,Archaeolemur_edwardsi,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,ARCHAEOLEMURIDAE,Archaeolemur,majori,Archaeolemur_majori,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,ARCHAEOLEMURIDAE,Hadropithecus,stenognathus,Hadropithecus_stenognathus,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
BIBYMALAGASIA,BIBYMALAGASIA,Plesiorycteropus,madagascariensis,Plesiorycteropus_madagascariensis,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,BOVIDAE,Bubalus,depressicornis,Bubalus_depressicornis,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,BOVIDAE,Bubalus,mindorensis,Bubalus_mindorensis,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,BOVIDAE,Bubalus,palaeokerabau,Bubalus_palaeokerabau,Extinct,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,BOVIDAE,Bubalus,quarlesi,Bubalus_quarlesi,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,BOVIDAE,Capricornis,crispus,Capricornis_crispus,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,BOVIDAE,Capricornis,swinhoei,Capricornis_swinhoei,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
CETARTIODACTYLA,BOVIDAE,Myotragus,balearicus,Myotragus_balearicus,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
