"harmMeans" "medians" "means" "Count.of.NA" "range" "variance" "stdev" "cv" "sterror" "low95" "high95"
"Zaglossus_bartoni_TACHYGLOSSIDAE_MONOTREMATA" 0.0179478352047411 0.0180899308382705 0.0180364236380123 0 0.0098537838322183 1.5582244127507e-06 0.00124828859353544 0.0692093187978041 1.24828859353544e-05 0.0154535199934416 0.0204408512932389
"Zaglossus_bruijnii_TACHYGLOSSIDAE_MONOTREMATA" 0.0179565637275425 0.0180952693154976 0.0180439996019564 0 0.0101890651027922 1.54280182414677e-06 0.00124209573872016 0.0688370519907065 1.24209573872016e-05 0.0154658497439548 0.0204507937814661
"Zaglossus_attenboroughi_TACHYGLOSSIDAE_MONOTREMATA" 0.0179561737193953 0.0180743990970337 0.0180432431308676 0 0.0096224347157712 1.53518384603305e-06 0.00123902536133569 0.0686697703039885 1.23902536133569e-05 0.0154558983214784 0.0204032492058442
"Tachyglossus_aculeatus_TACHYGLOSSIDAE_MONOTREMATA" 0.0166961791113373 0.0168629827029077 0.0168121555538866 0 0.0096816479863697 1.90419823702715e-06 0.00137992689553728 0.0820791177618073 1.37992689553728e-05 0.0140184214559591 0.0193814125379988
"Ornithorhynchus_anatinus_ORNITHORHYNCHIDAE_MONOTREMATA" 0.0133004206099727 0.0133669201440237 0.0133389777395781 0 0.0055088124580437 5.0524911615367e-07 0.00071080877608093 0.0532880997298534 7.1080877608093e-06 0.0118513380651728 0.0147163780926935
"Hydrodamalis_gigas_DUGONGIDAE_SIRENIA" 0.0412675740670478 0.0421748847929252 0.0428644205991987 0 0.0540455815529754 6.84148473457268e-05 0.00827132681894065 0.192964857644554 8.27132681894065e-05 0.0283070075552391 0.0604836484115767
"Trichechus_manatus_TRICHECHIDAE_SIRENIA" 0.0649557912683536 0.0659911462489466 0.0665275543400212 0 0.0705690429001399 0.000105839394382896 0.0102878274860582 0.154640097447102 0.000102878274860582 0.048156182188608 0.0888926965558009
"Trichechus_senegalensis_TRICHECHIDAE_SIRENIA" 0.0666273985397575 0.0676961796773604 0.0681934332915553 0 0.070014437280043 0.000108086519748028 0.0103964666953743 0.152455539977363 0.000103964666953743 0.049531920554764 0.0909363980422067
"Trichechus_inunguis_TRICHECHIDAE_SIRENIA" 0.0666273985397575 0.0676961796773604 0.0681934332915553 0 0.070014437280043 0.000108086519748028 0.0103964666953743 0.152455539977363 0.000103964666953743 0.049531920554764 0.0909363980422067
"Dugong_dugon_DUGONGIDAE_SIRENIA" 0.0468485640700958 0.0477469609183704 0.0485930663170465 0 0.0629646757280082 8.40167727861846e-05 0.00916606637474247 0.188629100187633 9.16606637474247e-05 0.0325963167405473 0.0674026883157778
"Mammut_americanum_Mammutidae_PROBOSCIDEA" 0.0552488344005587 0.0566227010280505 0.0573439804157493 0 0.0759427204586177 0.000121824957095142 0.0110374343529256 0.19247764582966 0.000110374343529256 0.0376881097214714 0.0828378383834861
"Loxodonta_africana_ELEPHANTIDAE_PROBOSCIDEA" 0.0732224979578822 0.0744916523629434 0.0752349805079169 0 0.0856952201157127 0.000155118241101527 0.0124546473696178 0.165543305594493 0.000124546473696178 0.0535750948746426 0.103005020606484
"Mammuthus_primigenius_Mammutidae_PROBOSCIDEA" 0.0880416436714204 0.0896317976289811 0.0900197548250959 0 0.0970306709892779 0.000183481489761354 0.0135455339415379 0.150472904173714 0.000135455339415379 0.0662138322448012 0.12022577513826
"Mammuthus_columbi_Mammutidae_PROBOSCIDEA" 0.0880416436714204 0.0896317976289811 0.0900197548250959 0 0.0970306709892779 0.000183481489761354 0.0135455339415379 0.150472904173714 0.000135455339415379 0.0662138322448012 0.12022577513826
"Elephas_maximus_ELEPHANTIDAE_PROBOSCIDEA" 0.0876299291918343 0.0893622241659016 0.0897105200552846 0 0.0986860003782849 0.000192996076648007 0.0138923027842042 0.154857008694666 0.000138923027842042 0.0656958271845696 0.120420894358923
"Elephas_cypriotes_ELEPHANTIDAE_PROBOSCIDEA" 0.0917807159448691 0.0934168117223779 0.0938084646121649 0 0.0978505453190348 0.000196260866638306 0.0140093135677058 0.149339546549716 0.000140093135677058 0.0695720389170311 0.124448477942335
"Elephas_antiquus_ELEPHANTIDAE_PROBOSCIDEA" 0.0917807159448691 0.0934168117223779 0.0938084646121649 0 0.0978505453190348 0.000196260866638306 0.0140093135677058 0.149339546549716 0.000140093135677058 0.0695720389170311 0.124448477942335
"Procavia_capensis_PROCAVIIDAE_HYRACOIDEA" 0.0553676110727813 0.0565181636196675 0.0573661001599751 0 0.0676988588876471 0.000116688536979159 0.0108022468486496 0.188303663984926 0.000108022468486496 0.0384128085353047 0.0802380263151854
"Heterohyrax_brucei_PROCAVIIDAE_HYRACOIDEA" 0.0553676110727813 0.0565181636196675 0.0573661001599751 0 0.0676988588876471 0.000116688536979159 0.0108022468486496 0.188303663984926 0.000108022468486496 0.0384128085353047 0.0802380263151854
"Dendrohyrax_dorsalis_PROCAVIIDAE_HYRACOIDEA" 0.0616741912137486 0.0634490643822322 0.0639729297639189 0 0.0853838793923845 0.000147398295674322 0.0121407699786431 0.189779802542209 0.000121407699786431 0.0428266865568838 0.0902138745393035
"Dendrohyrax_validus_PROCAVIIDAE_HYRACOIDEA" 0.0616443803622159 0.0634209400566393 0.0639352843872846 0 0.083611451270014 0.000146979459944236 0.0121235085657674 0.189621563147039 0.000121235085657674 0.0426234230327736 0.0899645001295285
"Dendrohyrax_arboreus_PROCAVIIDAE_HYRACOIDEA" 0.0615995352641227 0.0633764193307572 0.0638886866062053 0 0.0832383558269108 0.000146356770725158 0.0120978002432326 0.189357472909101 0.000120978002432326 0.0428236511514145 0.0902049331260668
"Orycteropus_afer_ORYCTEROPODIDAE_TUBULIDENTATA" 0.0126737976320336 0.0128267127118326 0.0129488181239131 0 0.0125400875396795 3.61770488117009e-06 0.00190202651957592 0.146888040389059 1.90202651957592e-05 0.00962310571574474 0.0166838639868547
"Rhynchocyon_petersi_MACROSCELIDIDAE_MACROSCELIDEA" 0.0525173942333597 0.0535018274410437 0.0538870361353264 0 0.057470779887122 7.31524248866046e-05 0.00855291908570428 0.158719419346526 8.55291908570428e-05 0.0379851312757734 0.0713581397736496
"Rhynchocyon_chrysopygus_MACROSCELIDIDAE_MACROSCELIDEA" 0.0425154598996526 0.0504661518096324 0.0483674269734075 0 0.080396495378699 0.00020620984471555 0.0143600085207339 0.29689419965691 0.000143600085207339 0.0179327176069013 0.0717664451561379
"Rhynchocyon_cirnei_MACROSCELIDIDAE_MACROSCELIDEA" 0.0544454904085289 0.055545634308124 0.0558057769961081 0 0.0601348481725544 7.49791555564415e-05 0.008659050499705 0.155164052286359 8.659050499705e-05 0.0395701167497602 0.0731830936267743
"Rhynchocyon_udzungwensis_MACROSCELIDIDAE_MACROSCELIDEA" 0.0544436995480638 0.0554979258372102 0.0558084197557238 0 0.057254285800843 7.53764458560312e-05 0.00868196094531824 0.155567224145023 8.68196094531824e-05 0.0396529169087996 0.0733074520402802
"Elephantulus_myurus_MACROSCELIDIDAE_MACROSCELIDEA" 0.0451372527786625 0.0458408287574847 0.048678234913617 0 0.0962265259589389 0.00019657153042433 0.0140203969424667 0.288021884264023 0.000140203969424667 0.0288881993145078 0.0817475757405744
"Elephantulus_edwardii_MACROSCELIDIDAE_MACROSCELIDEA" 0.0452338229694294 0.0457254323468385 0.0488595978958576 0 0.106128522420175 0.000203789669295191 0.0142754919107956 0.292173749387444 0.000142754919107956 0.028923085923483 0.0832326622547913
"Macroscelides_micus_MACROSCELIDIDAE_MACROSCELIDEA" 0.0477062392156664 0.0485927691000304 0.0496659999491883 0 0.0844880895388641 0.000104668785451077 0.0102307763855475 0.205991551484201 0.000102307763855475 0.0327250071143096 0.0737889852708549
