"harmMeans" "medians" "means" "Count.of.NA" "range" "variance" "stdev" "cv" "sterror" "low95" "high95"
"_Anolis_carolinensis" 0.00307669225735536 0.00307809655153946 0.003077236570068 0 0.00014071504996762 1.67316113574315e-09 4.09042923877574e-05 0.0132925407118938 4.09042923877574e-07 0.00300789070594471 0.00314156189412195
"Zaglossus_bartoni_TACHYGLOSSIDAE_MONOTREMATA" 0.0209174077638125 0.0212876113833845 0.0211537283400849 0 0.0143950564872702 4.71694994273226e-06 0.00217185403347745 0.102670035208968 2.17185403347745e-05 0.016472162186224 0.0250115593699673
"Zaglossus_bruijnii_TACHYGLOSSIDAE_MONOTREMATA" 0.0209373635872298 0.0212967704938369 0.0211686424904451 0 0.0145523126301913 4.64082810714379e-06 0.00215425813382329 0.101766475332353 2.15425813382329e-05 0.0165801676868826 0.025042818015158
"Zaglossus_attenboroughi_TACHYGLOSSIDAE_MONOTREMATA" 0.0209377743852915 0.0212879058309877 0.0211696821491491 0 0.0151298628689985 4.64789302645813e-06 0.00215589726713917 0.101838905844216 2.15589726713917e-05 0.0165854578196149 0.0250491302652674
"Tachyglossus_aculeatus_TACHYGLOSSIDAE_MONOTREMATA" 0.0184277729010727 0.0188016135810948 0.0187221231644563 0 0.0153424622755682 5.31880202470051e-06 0.00230625281023146 0.123183294435849 2.30625281023146e-05 0.0142317955021421 0.0230072234419744
"Ornithorhynchus_anatinus_ORNITHORHYNCHIDAE_MONOTREMATA" 0.0128361708762729 0.012905575285083 0.0128695043702105 0 0.00500645969571899 4.19381913994635e-07 0.000647597030563479 0.0503202774508157 6.47597030563479e-06 0.0114818418857962 0.0140282211209042
"Hydrodamalis_gigas_DUGONGIDAE_SIRENIA" 0.0418502585624232 0.0425357992716925 0.0430339187907722 0 0.0522749555427275 5.09317227172152e-05 0.00713664646155428 0.165837708070514 7.13664646155428e-05 0.03000068553916 0.0577131348141654
"Trichechus_manatus_TRICHECHIDAE_SIRENIA" 0.065857782617063 0.0662461837169674 0.0667914464607154 0 0.0578341671984613 6.3005294035525e-05 0.00793758741907924 0.118841376249396 7.93758741907924e-05 0.0524924794336904 0.0836535551424619
"Trichechus_senegalensis_TRICHECHIDAE_SIRENIA" 0.067555647028638 0.0679294268451391 0.0684607561257595 0 0.057311012874119 6.28028221225421e-05 0.00792482316033248 0.115757166715701 7.92482316033248e-05 0.0542620405475865 0.0854212392718178
"Trichechus_inunguis_TRICHECHIDAE_SIRENIA" 0.067555647028638 0.0679294268451391 0.0684607561257595 0 0.057311012874119 6.28028221225421e-05 0.00792482316033248 0.115757166715701 7.92482316033248e-05 0.0542620405475865 0.0854212392718178
"Dugong_dugon_DUGONGIDAE_SIRENIA" 0.047469173664125 0.0481234647857382 0.048826658599352 0 0.0587147452180106 6.58434485205247e-05 0.00811439760675583 0.166187853920922 8.11439760675582e-05 0.0339934223699843 0.0653335450662199
"Mammut_americanum_Mammutidae_PROBOSCIDEA" 0.0560284786417799 0.0569166163509139 0.0575617744881262 0 0.0581686713168499 8.83618023133268e-05 0.00940009586724129 0.163304483762577 9.40009586724129e-05 0.040534661416875 0.0781420459893757
"Loxodonta_africana_ELEPHANTIDAE_PROBOSCIDEA" 0.0742477588963094 0.075038477635529 0.0755127672341133 0 0.0643364657053829 9.55111501871698e-05 0.00977298061940009 0.129421566410098 9.77298061940009e-05 0.0579017216515571 0.0954863422707809
