"harmMeans" "medians" "means" "Count.of.NA" "range" "variance" "stdev" "cv" "sterror" "low95" "high95"
"Ornithorhynchus_anatinus_ORNITHORHYNCHIDAE_MONOTREMATA" 0.00964979473872062 0.0096623423699797 0.00967109361782949 0 0.00329320023013744 2.06310265142456e-07 0.000454213898006717 0.0469661359879026 4.54213898006717e-06 0.00878638944666455 0.0106095380405585
"Zaglossus_bruijnii_TACHYGLOSSIDAE_MONOTREMATA" 0.0108897718235627 0.0109134430616106 0.0109202330909667 0 0.00437284578179189 3.33192415682038e-07 0.000577228218023026 0.0528585986411328 5.77228218023026e-06 0.00979995557268492 0.0121139013630763
"Tachyglossus_aculeatus_TACHYGLOSSIDAE_MONOTREMATA" 0.0108897718235627 0.0109134430616106 0.0109202330909667 0 0.00437284578179189 3.33192415682038e-07 0.000577228218023026 0.0528585986411328 5.77228218023026e-06 0.00979995557268492 0.0121139013630763
"Rhynchocyon_petersi_MACROSCELIDIDAE_MACROSCELIDEA" 0.0412271084367796 0.041841664669143 0.0421646753446601 0 0.0511984462169952 4.0115155389556e-05 0.00633365261042599 0.150212294027022 6.33365261042599e-05 0.0310720206159034 0.0555442323772145
"Rhynchocyon_cirnei_MACROSCELIDIDAE_MACROSCELIDEA" 0.0422107616941974 0.0428299764461111 0.0431529997700069 0 0.0503352948119465 4.13853120194605e-05 0.00643314169123147 0.14907750852822 6.43314169123147e-05 0.0319386994443429 0.0566602211128135
"Rhynchocyon_udzungwensis_MACROSCELIDIDAE_MACROSCELIDEA" 0.0417404682594245 0.0423059713197409 0.0426847725444563 0 0.0457321077013732 4.11376960612008e-05 0.00641386748079509 0.150261254739381 6.41386748079509e-05 0.0315471669423576 0.0563035811030942
"Elephantulus_rufescens_MACROSCELIDIDAE_MACROSCELIDEA" 0.0529700015595795 0.0536687350204001 0.0543381516264118 0 0.0648743317945992 7.71321699116181e-05 0.00878249223806193 0.161626628348416 8.78249223806193e-05 0.0396365666834866 0.0742854030558113
"Elephantulus_brachyrhynchus_MACROSCELIDIDAE_MACROSCELIDEA" 0.0529700015595795 0.0536687350204001 0.0543381516264118 0 0.0648743317945992 7.71321699116181e-05 0.00878249223806193 0.161626628348416 8.78249223806193e-05 0.0396365666834866 0.0742854030558113
"Elephantulus_intufi_MACROSCELIDIDAE_MACROSCELIDEA" 0.0482516349232946 0.0488753588782632 0.0495917849650472 0 0.0658226297595466 7.03415003474345e-05 0.00838698398397389 0.169120429722082 8.38698398397389e-05 0.0358024986353589 0.0677428480530461
"Elephantulus_rupestris_MACROSCELIDIDAE_MACROSCELIDEA" 0.0482516349232946 0.0488753588782632 0.0495917849650472 0 0.0658226297595466 7.03415003474345e-05 0.00838698398397389 0.169120429722082 8.38698398397389e-05 0.0358024986353589 0.0677428480530461
"Elephantulus_edwardii_MACROSCELIDIDAE_MACROSCELIDEA" 0.038741850742716 0.0392677904593579 0.0398594853068778 0 0.0557721896723041 4.66668059346931e-05 0.00683131070400791 0.171384819733966 6.83131070400791e-05 0.0285034179193095 0.0553142916967332
"Elephantulus_myurus_MACROSCELIDIDAE_MACROSCELIDEA" 0.038741850742716 0.0392677904593579 0.0398594853068778 0 0.0557721896723041 4.66668059346931e-05 0.00683131070400791 0.171384819733966 6.83131070400791e-05 0.0285034179193095 0.0553142916967332
"Elephantulus_rozeti_MACROSCELIDIDAE_MACROSCELIDEA" 0.0436993467270577 0.0444646386907024 0.0450306233499027 0 0.0615143883315377 6.18251395028422e-05 0.00786289638128611 0.174612203792713 7.86289638128611e-05 0.031677698416398 0.0619028433335585
"Petrodromus_tetradactylus_MACROSCELIDIDAE_MACROSCELIDEA" 0.0436993467270577 0.0444646386907024 0.0450306233499027 0 0.0615143883315377 6.18251395028422e-05 0.00786289638128611 0.174612203792713 7.86289638128611e-05 0.031677698416398 0.0619028433335585
"Macroscelides_micus_MACROSCELIDIDAE_MACROSCELIDEA" 0.0408975334542844 0.041406934650216 0.0422211537439518 0 0.0573883874289054 5.86534350477942e-05 0.0076585530648938 0.181391373417665 7.6585530648938e-05 0.0295271459962596 0.0595745400010806
"Macroscelides_flavicaudatus_MACROSCELIDIDAE_MACROSCELIDEA" 0.0526524492726957 0.0534415964267559 0.0540879854103136 0 0.0650015255492595 7.97919907302579e-05 0.0089326362698958 0.165150101304984 8.9326362698958e-05 0.038718865439728 0.0737929081480992
"Macroscelides_proboscideus_MACROSCELIDIDAE_MACROSCELIDEA" 0.0526524492726957 0.0534415964267559 0.0540879854103136 0 0.0650015255492595 7.97919907302579e-05 0.0089326362698958 0.165150101304984 8.9326362698958e-05 0.038718865439728 0.0737929081480992
"Microgale_grandidieri_TENRECIDAE_AFROSORICIDA" 0.0538873777726605 0.0545722077656685 0.0553663999679849 0 0.0716469206706986 8.46460509234228e-05 0.0092003288486566 0.166171700778389 9.2003288486566e-05 0.0397493674755065 0.0756812158623936
"Microgale_brevicaudata_TENRECIDAE_AFROSORICIDA" 0.0538873777726605 0.0545722077656685 0.0553663999679849 0 0.0716469206706986 8.46460509234228e-05 0.0092003288486566 0.166171700778389 9.2003288486566e-05 0.0397493674755065 0.0756812158623936
"Limnogale_mergulus_TENRECIDAE_AFROSORICIDA" 0.041307252300793 0.0413240690048544 0.0435417334781253 0 0.104394829633011 0.000115504688113875 0.010747310738686 0.246827810474869 0.00010747310738686 0.0286616143326358 0.0701284703714144
"Microgale_principula_TENRECIDAE_AFROSORICIDA" 0.0608080966891738 0.0618252127494367 0.062888626825286 0 0.0943218270602136 0.000136551950795435 0.0116855445228468 0.185813319716949 0.000116855445228468 0.0435325331169158 0.0884542540727514
"Microgale_majori_TENRECIDAE_AFROSORICIDA" 0.0603184353562939 0.0613263595666046 0.0624092484040419 0 0.0875349219593053 0.000135800373694102 0.0116533417393511 0.186724596712117 0.000116533417393511 0.0431219847428687 0.0877797649184188
"Microgale_longicaudata_TENRECIDAE_AFROSORICIDA" 0.0556488575829585 0.0562934205854732 0.0578108528317055 0 0.0905865529795442 0.000134682107762714 0.0116052620721255 0.200745387823802 0.000116052620721255 0.0395391592869406 0.0849147617034907
"Microgale_pusilla_TENRECIDAE_AFROSORICIDA" 0.0491224500044524 0.0497612212241916 0.0517373160040021 0 0.0912350306382192 0.000148513224611982 0.0121866002072761 0.235547592115784 0.000121866002072761 0.0336653412140097 0.0798142437486501
"Microgale_talazaci_TENRECIDAE_AFROSORICIDA" 0.0553098723083232 0.060080248726381 0.059903483936421 0 0.100751651940337 0.000251780133267544 0.0158675812040633 0.264885782284458 0.000158675812040633 0.0304654644932899 0.0914089098054412
"Microgale_cowani_TENRECIDAE_AFROSORICIDA" 0.0429009408291246 0.043320905193586 0.0453982225558236 0 0.0854315511404369 0.00012600063783132 0.011225000571551 0.247256388898227 0.00011225000571551 0.0285795937430658 0.0711080498387936
"Geogale_aurita_TENRECIDAE_AFROSORICIDA" 0.0279535427900185 0.0280078603347804 0.0292933503061346 0 0.0782306784357028 6.0335370309106e-05 0.00776758458654336 0.265165455824173 7.76758458654336e-05 0.0204057243260716 0.0502727572946929
"Oryzorictes_hova_TENRECIDAE_AFROSORICIDA" 0.0266298812389488 0.0269023322121009 0.0274003564405293 0 0.03587189821922 2.25832056987627e-05 0.00475217904742264 0.173434935335127 4.75217904742264e-05 0.0196812792404663 0.0383025911871892
"Hemicentetes_semispinosus_TENRECIDAE_AFROSORICIDA" 0.0340856708558628 0.0344135890650955 0.0349946124438623 0 0.0425564586314948 3.3100564518106e-05 0.00575330900596396 0.164405564290598 5.75330900596396e-05 0.0252749431793907 0.0478371654464105
"Tenrec_ecaudatus_TENRECIDAE_AFROSORICIDA" 0.0340856708558628 0.0344135890650955 0.0349946124438623 0 0.0425564586314948 3.3100564518106e-05 0.00575330900596396 0.164405564290598 5.75330900596396e-05 0.0252749431793907 0.0478371654464105
"Echinops_telfairi_TENRECIDAE_AFROSORICIDA" 0.0430803828730531 0.0434844644706021 0.0441229771093325 0 0.0488206424371059 4.80593800876318e-05 0.00693248729444431 0.157117396617782 6.93248729444431e-05 0.0326512186373031 0.0599271960278945
"Setifer_setosus_TENRECIDAE_AFROSORICIDA" 0.0430803828730531 0.0434844644706021 0.0441229771093325 0 0.0488206424371059 4.80593800876318e-05 0.00693248729444431 0.157117396617782 6.93248729444431e-05 0.0326512186373031 0.0599271960278945
"Potamogale_velox_TENRECIDAE_AFROSORICIDA" 0.0228337330343642 0.023279741137373 0.0233835848533124 0 0.027426769525187 1.31246234461373e-05 0.00362279221680423 0.154928863111896 3.62279221680423e-05 0.0170683553704774 0.0309868023769971
"Micropotamogale_lamottei_TENRECIDAE_AFROSORICIDA" 0.0228337330343642 0.023279741137373 0.0233835848533124 0 0.027426769525187 1.31246234461373e-05 0.00362279221680423 0.154928863111896 3.62279221680423e-05 0.0170683553704774 0.0309868023769971
"Cryptochloris_wintoni_CHRYSOCHLORIDAE_AFROSORICIDA" 0.0733625420943271 0.0747916067949042 0.0757987647171477 0 0.0981448631786236 0.000189257569655242 0.0137570916132459 0.181494931541196 0.000137570916132459 0.0525161416133063 0.105185530136346
"Chrysochloris_asiatica_CHRYSOCHLORIDAE_AFROSORICIDA" 0.0728676506577295 0.0743264977794193 0.0752888006309256 0 0.0987170190733882 0.000186581075791978 0.013659468356857 0.181427625920319 0.00013659468356857 0.0520111080418974 0.104582846742573
"Chrysochloris_stuhlmanni_CHRYSOCHLORIDAE_AFROSORICIDA" 0.0653499143704059 0.0667349756421426 0.0681030903659401 0 0.107792995644416 0.000194496835534725 0.0139462122289432 0.204780901336572 0.000139462122289432 0.0447283183475943 0.0993862538783557
"Chrysospalax_trevelyani_CHRYSOCHLORIDAE_AFROSORICIDA" 0.0697710148835761 0.0711729318798313 0.0721511824805697 0 0.106280392239717 0.000175468233233344 0.0132464422858873 0.183592864738629 0.000132464422858873 0.0491339987824647 0.100067784916941
"Calcochloris_obtusirostris_CHRYSOCHLORIDAE_AFROSORICIDA" 0.0697787539463589 0.0711729318798313 0.0721564438632184 0 0.106280392239717 0.000175365068801188 0.0132425476703385 0.183525503216891 0.000132425476703385 0.0491339987824647 0.100067784916941
"Chlorotalpa_sclateri_CHRYSOCHLORIDAE_AFROSORICIDA" 0.0907085764763738 0.0926529825530404 0.0932831260503868 0 0.114534446501914 0.000242137136787316 0.0155607563051195 0.166812123091955 0.000155607563051195 0.065517874077704 0.12568351772321
"Chlorotalpa_duthieae_CHRYSOCHLORIDAE_AFROSORICIDA" 0.0907085764763738 0.0926529825530404 0.0932831260503868 0 0.114534446501914 0.000242137136787316 0.0155607563051195 0.166812123091955 0.000155607563051195 0.065517874077704 0.12568351772321
"Amblysomus_septentrionalis_CHRYSOCHLORIDAE_AFROSORICIDA" 0.099885752643896 0.101801888055861 0.102579294459529 0 0.122698307022389 0.000276241896574251 0.0166205263627314 0.162026132567024 0.000166205263627314 0.0726476107007444 0.136693474260776
"Carpitalpa_arendsi_CHRYSOCHLORIDAE_AFROSORICIDA" 0.103021787138601 0.105148494309261 0.10562938030266 0 0.12556262887036 0.000272779298987309 0.0165160315750276 0.156358311747207 0.000165160315750276 0.0751919815538962 0.138794659308367
"Neamblysomus_gunningi_CHRYSOCHLORIDAE_AFROSORICIDA" 0.11173261451139 0.113755006131241 0.114162887164194 0 0.123028100214963 0.000276555192972457 0.0166299486761823 0.145668606403273 0.000166299486761823 0.0837077130181545 0.147696579713047
"Neamblysomus_julianae_CHRYSOCHLORIDAE_AFROSORICIDA" 0.11173261451139 0.113755006131241 0.114162887164194 0 0.123028100214963 0.000276555192972457 0.0166299486761823 0.145668606403273 0.000166299486761823 0.0837077130181545 0.147696579713047
"Amblysomus_marleyi_CHRYSOCHLORIDAE_AFROSORICIDA" 0.0988669926918044 0.100861280563993 0.101703697771959 0 0.125754068460305 0.000287346706021494 0.0169513039622766 0.166673428141078 0.000169513039622766 0.0710622622312797 0.136378443481218
"Amblysomus_hottentotus_CHRYSOCHLORIDAE_AFROSORICIDA" 0.0832837728155316 0.0851431142305293 0.0859280668731242 0 0.114182086523084 0.000227409100834376 0.0150800895499455 0.175496669466704 0.000150800895499455 0.05901942677193 0.118073455242214
"Eremitalpa_granti_CHRYSOCHLORIDAE_AFROSORICIDA" 0.0422807604740694 0.043075754711179 0.0443683695912891 0 0.0716925014954338 9.90489539739482e-05 0.00995233409678092 0.224311467571593 9.95233409678092e-05 0.0288358750015955 0.0666478414046722
"Hydrodamalis_gigas_DUGONGIDAE_SIRENIA" 0.046504266260651 0.0471439336180458 0.0479617919710526 0 0.0792700295066179 7.14945951612596e-05 0.00845544766178939 0.176295490937717 8.45544766178939e-05 0.0336151610301046 0.06620128914989
"Dugong_dugon_DUGONGIDAE_SIRENIA" 0.0473564649838517 0.0478579569017401 0.0487266426371751 0 0.0735472897566181 6.89621686266082e-05 0.00830434636961924 0.170427222565989 8.30434636961924e-05 0.0350331835149632 0.0665690742810775
"Trichechus_manatus_TRICHECHIDAE_SIRENIA" 0.065260046791177 0.0659326972264984 0.0666101717179943 0 0.0773895794499924 9.27072003233515e-05 0.00962845783723185 0.144549362190441 9.62845783723185e-05 0.0503359747784823 0.0875375638178596
"Trichechus_inunguis_TRICHECHIDAE_SIRENIA" 0.0664053810676068 0.0671090457693494 0.0677593545642819 0 0.07781165806426 9.44621105287594e-05 0.00971916202811536 0.143436461144195 9.71916202811536e-05 0.0515810974841582 0.0888702553778657
"Trichechus_senegalensis_TRICHECHIDAE_SIRENIA" 0.0659025890761409 0.0667093149034173 0.067278943185851 0 0.07781165806426 9.506057873619e-05 0.00974990147315295 0.144917577647138 9.74990147315295e-05 0.0509521903963701 0.0884323646519741
"Procavia_capensis_PROCAVIIDAE_HYRACOIDEA" 0.0425563531955493 0.042981226440605 0.0435770864036007 0 0.0486816467514761 4.59001923941744e-05 0.00677496807329558 0.155470882347374 6.77496807329558e-05 0.0320471100503612 0.058524679261814
"Heterohyrax_brucei_PROCAVIIDAE_HYRACOIDEA" 0.0425647670781092 0.0429940471073142 0.0435835064852854 0 0.0481982647288186 4.58317403573373e-05 0.00676991435376677 0.155332025798622 6.76991435376677e-05 0.0320471100503612 0.058524679261814
"Dendrohyrax_dorsalis_PROCAVIIDAE_HYRACOIDEA" 0.0391446794743677 0.0396211853688142 0.0401607596756876 0 0.0483800624035335 4.22235262606182e-05 0.00649796323940188 0.161798812867964 6.49796323940188e-05 0.0291411464498378 0.0544959695299158
"Loxodonta_africana_ELEPHANTIDAE_PROBOSCIDEA" 0.0709648673547355 0.071973885775082 0.0726036396812218 0 0.086016997388066 0.000120942541899337 0.0109973879580261 0.151471579197846 0.000109973879580261 0.0533492885447064 0.0963146019891422
"Mammuthus_primigenius_Mammutidae_PROBOSCIDEA" 0.084428478707941 0.0852919355619612 0.0860093032191758 0 0.0876766252762879 0.000139776894437819 0.0118227278763329 0.137458710090992 0.000118227278763329 0.0658433984198494 0.111514068170784
"Mammuthus_columbi_Mammutidae_PROBOSCIDEA" 0.084428478707941 0.0852919355619612 0.0860093032191758 0 0.0876766252762879 0.000139776894437819 0.0118227278763329 0.137458710090992 0.000118227278763329 0.0658433984198494 0.111514068170784
"Elephas_maximus_ELEPHANTIDAE_PROBOSCIDEA" 0.0839305718605878 0.0848018547636478 0.0856422277132549 0 0.0962740714003854 0.00015116146965073 0.0122947740788812 0.143559718227395 0.000122947740788812 0.0645937706006085 0.112325898227949
"Elephas_cypriotes_ELEPHANTIDAE_PROBOSCIDEA" 0.0880075242196604 0.0890065480121478 0.0896585493761927 0 0.0927345095841959 0.000152687706128324 0.0123566866970205 0.137819391268242 0.000123566866970205 0.0687213679507278 0.116754366369262
"Elephas_antiquus_ELEPHANTIDAE_PROBOSCIDEA" 0.0880073481007373 0.0890065480121478 0.0896585856783935 0 0.0927345095841959 0.00015270851549788 0.0123575286970284 0.13782872664705 0.000123575286970284 0.0687213679507278 0.116754366369262
"Mammut_americanum_Mammutidae_PROBOSCIDEA" 0.052702438557006 0.0535652345891395 0.0545573444925948 0 0.0731693143818416 0.000105506916204059 0.0102716559621153 0.188272652520863 0.000102716559621153 0.0375761480832141 0.0781032801458288
"Orycteropus_afer_ORYCTEROPODIDAE_TUBULIDENTATA" 0.0132398200797976 0.0133696204788076 0.013496182284936 0 0.0141712038083397 3.56043153281292e-06 0.00188691057891277 0.139810691577489 1.88691057891277e-05 0.0103877251419619 0.0175973932458394
"Mylodon_darwinii_Mylodontidae_PILOSA" 0.0343277782037166 0.0348868047019236 0.0353008898075512 0 0.0547302897577149 3.50724804460445e-05 0.00592220233072499 0.167763542590877 5.92220233072499e-05 0.0250440990242697 0.0480590334711742
"Choloepus_didactylus_MEGALONYCHIDAE_PILOSA" 0.0448635638454547 0.0455508752944444 0.0458130313991684 0 0.0565996057220797 4.43558159746292e-05 0.00666001621429177 0.145373838204749 6.66001621429177e-05 0.0341719871874583 0.0602791861010979
"Choloepus_hoffmanni_MEGALONYCHIDAE_PILOSA" 0.0448635638454547 0.0455508752944444 0.0458130313991684 0 0.0565996057220797 4.43558159746292e-05 0.00666001621429177 0.145373838204749 6.66001621429177e-05 0.0341719871874583 0.0602791861010979
"Nothrotheriops_shastensis_Nothrotheriidae_PILOSA" 0.0333141168716144 0.0338138496440465 0.0341458895529196 0 0.0444598667632175 2.90915855635059e-05 0.00539366161002949 0.157959323381233 5.39366161002949e-05 0.024960682438918 0.0457668386545688
"Bradypus_variegatus_BRADYPODIDAE_PILOSA" 0.0488480445524402 0.0495000600775834 0.049874352882312 0 0.0582057314793781 5.22187648102705e-05 0.00722625524115157 0.144889203037948 7.22625524115157e-05 0.0372380307288121 0.0653026430575568
"Bradypus_tridactylus_BRADYPODIDAE_PILOSA" 0.0488480445524402 0.0495000600775834 0.049874352882312 0 0.0582057314793781 5.22187648102705e-05 0.00722625524115157 0.144889203037948 7.22625524115157e-05 0.0372380307288121 0.0653026430575568
"Bradypus_torquatus_BRADYPODIDAE_PILOSA" 0.0380354754650019 0.0385342838731074 0.0389664702836977 0 0.049897855764991 3.73884412537866e-05 0.00611460883898444 0.156919751634333 6.11460883898444e-05 0.0286249991359557 0.0522457144158057
"Tamandua_tetradactyla_MYRMECOPHAGIDAE_PILOSA" 0.0277174702269741 0.0281130776431468 0.0282912007504989 0 0.0338145853008139 1.67480251990012e-05 0.00409243511848401 0.144653991697819 4.09243511848401e-05 0.0214686991521627 0.0370389966587612
"Myrmecophaga_tridactyla_MYRMECOPHAGIDAE_PILOSA" 0.0277174702269741 0.0281130776431468 0.0282912007504989 0 0.0338145853008139 1.67480251990012e-05 0.00409243511848401 0.144653991697819 4.09243511848401e-05 0.0214686991521627 0.0370389966587612
"Cyclopes_didactylus_CYCLOPEDIDAE_PILOSA" 0.01969406980928 0.0199610243631589 0.0201276421291321 0 0.0247603024393945 9.01394833578883e-06 0.00300232382260622 0.149164209267252 3.00232382260622e-05 0.0151045876302539 0.0265822289157072
"Zaedyus_pichiy_DASYPODIDAE_CINGULATA" 0.0592762411417908 0.060244133016954 0.0605891416241522 0 0.0707091007582976 8.07939369219317e-05 0.00898854476107961 0.148352403089608 8.98854476107961e-05 0.0445536908054325 0.0796877185004697
"Chaetophractus_vellerosus_DASYPODIDAE_CINGULATA" 0.0666945366168396 0.0677479963007863 0.0679520742098352 0 0.0739392809627097 8.66181497633904e-05 0.00930688722201953 0.136962518513857 9.30688722201953e-05 0.0514703462628601 0.0874034863386379
"Chaetophractus_villosus_DASYPODIDAE_CINGULATA" 0.0664849201499867 0.0675447503104835 0.0677566841185699 0 0.0761925584871129 8.72650693979687e-05 0.00934157745768715 0.137869460101382 9.34157745768715e-05 0.0513187822330409 0.0873188307056211
"Euphractus_sexcinctus_DASYPODIDAE_CINGULATA" 0.0624992421737493 0.0636197451381807 0.0637726265048364 0 0.0727344504248127 8.21825194415691e-05 0.00906545748661197 0.14215280102858 9.06545748661197e-05 0.0476314951341631 0.0828279684934147
"Priodontes_maximus_DASYPODIDAE_CINGULATA" 0.0410737184274289 0.0416844704673573 0.0420406014181166 0 0.0553216245608691 4.17763231912749e-05 0.00646346062038556 0.153743295822601 6.46346062038556e-05 0.0308804148032616 0.05571235807995
"Cabassous_unicinctus_DASYPODIDAE_CINGULATA" 0.0420750614324739 0.0426398786019206 0.0430353795272803 0 0.0526852505007007 4.25103021080878e-05 0.0065199924929472 0.151503078735814 6.5199924929472e-05 0.0318379107056935 0.0569922481543938
