"harmMeans" "medians" "means" "Count.of.NA" "range" "variance" "stdev" "cv" "sterror" "low95" "high95"
"_Anolis_carolinensis" 0.00307669225735536 0.00307809655153946 0.003077236570068 0 0.00014071504996762 1.67316113574315e-09 4.09042923877574e-05 0.0132925407118938 4.09042923877574e-07 0.00300789070594471 0.00314156189412195
"Ornithorhynchus_anatinus_ORNITHORHYNCHIDAE_MONOTREMATA" 0.0103812033014529 0.0104214998757103 0.010406633789875 0 0.0035441539317687 2.61205735251035e-07 0.000511082904479337 0.0491112606438203 5.11082904479337e-06 0.0093754308860799 0.0113546292556347
"Zaglossus_bruijnii_TACHYGLOSSIDAE_MONOTREMATA" 0.0128062071439862 0.0129103775391218 0.0128693881176404 0 0.00603151113703741 7.95068088911371e-07 0.000891665906554339 0.0692858042980388 8.91665906554339e-06 0.0110811352506609 0.0145117901620426
"Tachyglossus_aculeatus_TACHYGLOSSIDAE_MONOTREMATA" 0.0128062071439862 0.0129103775391218 0.0128693881176404 0 0.00603151113703741 7.95068088911371e-07 0.000891665906554339 0.0692858042980388 8.91665906554339e-06 0.0110811352506609 0.0145117901620426
"Rhynchocyon_petersi_MACROSCELIDIDAE_MACROSCELIDEA" 0.0417210429474109 0.0420800391060503 0.0424058705203316 0 0.038461541474306 2.918736157139e-05 0.00540253288480413 0.127400589081502 5.40253288480413e-05 0.0323916137006019 0.0534244985385999
"Rhynchocyon_cirnei_MACROSCELIDIDAE_MACROSCELIDEA" 0.0427180028342455 0.0430461122158131 0.043398109982758 0 0.0401776744585139 2.97890173908738e-05 0.00545793160371892 0.125764269593476 5.45793160371892e-05 0.0335093490914945 0.0545998987362023
"Rhynchocyon_udzungwensis_MACROSCELIDIDAE_MACROSCELIDEA" 0.042234675529144 0.0425968001741103 0.042934208831755 0 0.0407270568010194 3.03458918395633e-05 0.005508710542365 0.128305858946925 5.508710542365e-05 0.033013129790709 0.0543032106691918
"Elephantulus_rufescens_MACROSCELIDIDAE_MACROSCELIDEA" 0.0535809394130386 0.0541604906077355 0.054663542260801 0 0.0543522085258754 5.97537070369573e-05 0.00773005220143805 0.141411476127138 7.73005220143805e-05 0.0411310434655222 0.0710467051106835
"Elephantulus_brachyrhynchus_MACROSCELIDIDAE_MACROSCELIDEA" 0.0535809394130386 0.0541604906077355 0.054663542260801 0 0.0543522085258754 5.97537070369573e-05 0.00773005220143805 0.141411476127138 7.73005220143805e-05 0.0411310434655222 0.0710467051106835
"Elephantulus_intufi_MACROSCELIDIDAE_MACROSCELIDEA" 0.0487729068204355 0.0491077463417399 0.049923906662516 0 0.05481989852388 5.91975910298512e-05 0.00769399707758271 0.154114483259371 7.69399707758271e-05 0.0368627564959809 0.0670060441682592
