tiplabel,gen,fam,famLabel,famNumLabel,famNumAll,ord,ordNums,ordNumsSelect,cladeOrdNums,ordLabel1,ordLabel2,clade,cladeTarget,cladeCommonAll,cladeCommonSubs,cladeCommonSubs2,cladeCommonSubs2Nums,cladeCombo,higher,genes,samp,PC,harmMeans,medians,means,Count.of.NA,range,variance,stdev,cv,sterror,low95,high95,SciName,Source_upham,ID_upham,extinct?,newSinceMSW3?,IFnew_Category,IFnew_GeoRegion,IFnew_Citation
Abditomys_latidens_MURIDAE_RODENTIA,Abditomys,MURIDAE,MURIDAE,"""""",158,RODENTIA,27,RODENTIA,40,RODENTIA,NA,Mouse-related,Muroidea,Mouse-related,Mouse-related,Mouse-related,19,Mouse-related,Euarchontoglires,0,imputed,PC11_Muridae,0.140754693,0.158815692,0.173489142,0,0.509896572,0.006202958,0.07875886,0.453969968,0.000787589,0.059979965,0.366898793,Abditomys_latidens,IUCN,42641,0,0,NA,NA,NA
Abeomelomys_sevia_MURIDAE_RODENTIA,Abeomelomys,MURIDAE,MURIDAE,"""""",158,RODENTIA,27,RODENTIA,40,RODENTIA,NA,Mouse-related,Muroidea,Mouse-related,Mouse-related,Mouse-related,19,Mouse-related,Euarchontoglires,5,sampled,PC11_Muridae,0.115885269,0.114007516,0.134393027,0,0.432741983,0.003483317,0.059019636,0.439156978,0.000590196,0.075420356,0.280293385,Abeomelomys_sevia,IUCN,17879,0,0,NA,NA,NA
Abrawayaomys_chebezi_CRICETIDAE_RODENTIA,Abrawayaomys,CRICETIDAE,CRICETIDAE,"""""",157,RODENTIA,27,RODENTIA,40,RODENTIA,NA,Mouse-related,Muroidea,Mouse-related,Mouse-related,Mouse-related,19,Mouse-related,Euarchontoglires,0,imputed,PC12_Cricetidae,0.160840273,0.193321294,0.201241928,0,0.566183031,0.007414304,0.086106353,0.427874818,0.000861064,0.064463004,0.389226793,Abrawayaomys_chebezi,newSp,100000001,0,1,deNovo,Argentina,"Pardiñas,__U.F.J.,__Teta,__P.__&__D’Elía,__G.__2009.__Taxonomy__and__distribution__of__Abrawayaomys__(Rodentia:__Cricetidae),__an__Atlantic__Forest__endemic__with__the__description__of__a__new__species.__Zootaxa__2128:39-60."
Abrawayaomys_ruschii_CRICETIDAE_RODENTIA,Abrawayaomys,CRICETIDAE,CRICETIDAE,"""""",157,RODENTIA,27,RODENTIA,40,RODENTIA,NA,Mouse-related,Muroidea,Mouse-related,Mouse-related,Mouse-related,19,Mouse-related,Euarchontoglires,0,imputed,PC12_Cricetidae,0.160840273,0.193321294,0.201241928,0,0.566183031,0.007414304,0.086106353,0.427874818,0.000861064,0.064463004,0.389226793,Abrawayaomys_ruschii,IUCN,16,0,0,NA,NA,NA
Abrocoma_bennettii_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,ABROCOMIDAE,"""""",139,RODENTIA,27,RODENTIA,38,RODENTIA,NA,Guinea_pig-related,Octodontoidea,Guinea_pig-related,Guinea_pig-related,Guinea_pig-related,17,Guinea_pig-related,Euarchontoglires,23,sampled,PC14_GuineaPigRelated,0.141484269,0.147171811,0.153075673,0,0.275657937,0.001930281,0.043934966,0.287014685,0.00043935,0.092110173,0.248307323,Abrocoma_bennettii,IUCN,42656,0,0,NA,NA,NA
Abrocoma_boliviensis_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,ABROCOMIDAE,"""""",139,RODENTIA,27,RODENTIA,38,RODENTIA,NA,Guinea_pig-related,Octodontoidea,Guinea_pig-related,Guinea_pig-related,Guinea_pig-related,17,Guinea_pig-related,Euarchontoglires,1,sampled,PC14_GuineaPigRelated,0.119619488,0.129856343,0.133412475,0,0.273825137,0.001917469,0.043788912,0.328222017,0.000437889,0.069179583,0.227122016,Abrocoma_boliviensis,IUCN,18,0,0,NA,NA,NA
Abrocoma_budini_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,ABROCOMIDAE,"""""",139,RODENTIA,27,RODENTIA,38,RODENTIA,NA,Guinea_pig-related,Octodontoidea,Guinea_pig-related,Guinea_pig-related,Guinea_pig-related,17,Guinea_pig-related,Euarchontoglires,0,imputed,PC14_GuineaPigRelated,0.158307342,0.174567886,0.175267947,0,0.328503203,0.002450002,0.049497493,0.282410413,0.000494975,0.077707615,0.273866619,Abrocoma_budini,IUCN,136334,0,0,NA,NA,NA
Abrocoma_cinerea_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,ABROCOMIDAE,"""""",139,RODENTIA,27,RODENTIA,38,RODENTIA,NA,Guinea_pig-related,Octodontoidea,Guinea_pig-related,Guinea_pig-related,Guinea_pig-related,17,Guinea_pig-related,Euarchontoglires,5,sampled,PC14_GuineaPigRelated,0.152080646,0.158470929,0.162699302,0,0.288502885,0.001845025,0.042953749,0.264006966,0.000429537,0.100232808,0.254716845,Abrocoma_cinerea,IUCN,42657,0,0,NA,NA,NA
Abrocoma_famatina_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,ABROCOMIDAE,"""""",139,RODENTIA,27,RODENTIA,38,RODENTIA,NA,Guinea_pig-related,Octodontoidea,Guinea_pig-related,Guinea_pig-related,Guinea_pig-related,17,Guinea_pig-related,Euarchontoglires,0,imputed,PC14_GuineaPigRelated,0.155387332,0.172075134,0.17284793,0,0.333990268,0.002444773,0.04944465,0.286058679,0.000494447,0.074349839,0.272377958,Abrocoma_famatina,IUCN,136367,0,0,NA,NA,NA
Abrocoma_shistacea_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,ABROCOMIDAE,"""""",139,RODENTIA,27,RODENTIA,38,RODENTIA,NA,Guinea_pig-related,Octodontoidea,Guinea_pig-related,Guinea_pig-related,Guinea_pig-related,17,Guinea_pig-related,Euarchontoglires,0,imputed,PC14_GuineaPigRelated,0.161016942,0.174831285,0.17622046,0,0.324347571,0.002261958,0.047560049,0.269889482,0.0004756,0.083551346,0.27072991,Abrocoma_shistacea,IUCN,136525,0,0,NA,NA,NA
