Taxon,N,Est,Low,Up,M2011_Est,M2011_Low,M2011_Up,BE2007_Est,BE2007_Low,BE2007_Up,DR2012_Est,DR2012_Low,DR2012_Up,LEVEL,R2016_Est,R2016_Low,R2016_Up,L2016_Est,L2016_Low,L2016_Up,L2016_EstMult,L2016_LowMult,L2016_UpMult,PBDB_numGenusOccs,PBDB_oldestGenus,PBDB_maxStemAge,Foley2016_crownMIN,Foley2016_crownMAX,NOTES,,
MONOTREMATA,5,38.2,13.5,79.4,36.7,22.4,103.1,63.6,52.2,75,56.4,30.6,84.7,0,NA,NA,NA,44.8,14.4,68.7,60.8,40.3,75.5,31,Kryoryctes,122.5,25,121,,,
Marsupialia,362,79.4,67.9,92.8,81.8,67.9,97.2,82.5,71.4,93.7,76,64.3,83.6,0,NA,NA,NA,56.6,40.2,80.6,44.9,32.1,61.6,NA,NA,NA,65.18,83.8,,,
PAUCITUBERCULATA,7,16.4,12.3,20.3,11.7,7.2,16.2,33.2,26.3,40.1,27.8,11,47,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,Bardalestes,59,NA,NA,crown fossils NA,,
DIDELPHIMORPHIA,106,38.3,31.3,45.2,31.4,23,38.4,56.2,45.9,67.7,50.5,39.4,60.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,Pariadens,105.3,11.608,66,,,
Australidelphia,100,63.4,54.1,74.8,64.2,53.7,75.5,66.8,63.8,74.2,70.2,58.7,76.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MICROBIOTHERIA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,Khasia,66,NA,NA,,,
NOTORYCTEMORPHIA,2,6.1,3.6,9,NA,NA,NA,9.3,8.3,10.2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Naraboryctes,23,NA,NA,,,
DASYUROMORPHIA,78,34.1,27.7,40.9,30,22.1,41.7,31.3,16.2,55.8,46,35.6,54.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,Gaylordia,58.7,15.97,54.65,,,
PERAMELEMORPHIA,22,29.5,24.1,35.2,28,21.1,37.1,36.2,30.6,41.8,40.9,30.8,51.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,Galadi,28.4,4.36,54.65,,,
DIPROTODONTIA,146,48.7,41.1,57.5,52.8,42.4,64,54.1,52.4,55.8,57.5,46.5,64.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011,Cercartetus,33.9,24.7,54.65,,,
Placentalia,5544,91.8,77.4,105,101.3,92.1,116.8,98.5,93.2,108.1,89.2,87.9,90.4,0,85,76,93,127.7,114.3,143.6,164.9,154.4,177.2,NA,NA,NA,65.2,131.5,,,
Xenarthra,33,67.4,53,83.9,65.4,58.4,71.5,72.5,67.4,77.6,69.4,66.5,71.8,1,43,35,55,84.8,68.6,106.9,125.9,103.9,146.8,NA,NA,NA,47.8,66,,,
CINGULATA,21,37.6,27.7,47.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,608,Proeuphractus,66,NA,NA,23,37.8,Gibb et al. 2016: stem Tolypeutinae and found in the late Oligocene of Deseadean in Bolivia at 26 Ma (Billet et al. 2011)
PILOSA,12,59.8,46.8,75.3,56.4,49.2,62.9,NA,NA,NA,62.7,57.5,66.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1184,Asiabradypus,58.7,31.5,66,,,
Afrotheria,92,80,64,94.5,80.9,74.4,96.5,93.4,90.4,96.4,70.4,68.7,72.1,1,66,61,74,102.1,87.6,116.3,149.8,140.9,163.3,NA,NA,NA,NA,NA,,,
Afroinsectiphilia,75,77.5,62.4,92.3,78.6,71.8,95.2,93.2,90.2,96.2,64.7,61.2,67.9,2,56,45,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
AFROSORICIDA,55,70.4,56.5,85.8,68.2,56.8,88,85.2,81,89.3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,Eudaemonema,63.3,NA,NA,crown fossils NA,,
MACROSCELIDEA,19,59,44.8,71.7,49.1,37.7,57.2,50.7,43.1,58.3,32.4,19.4,43.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,Cingulodon,66,15.97,56,,,
TUBULIDENTATA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,Orycteropus,28.1,NA,NA,crown fossils NA,,
Paenungulata,17,54,41.5,67.4,64.3,56,70.6,75.9,72,79.8,60.3,58.3,62.2,2,61,47,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.2,72.3,,,
HYRACOIDEA,5,10,4.3,15.4,6.1,3.9,8.3,19.1,18.4,20,16,76,27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,Megalohyrax,56,6.08,11.62,,,
PROBOSCIDEA,7,10.1,4.8,16.2,5.3,1.8,8,19.5,7.6,31.4,8.4,3.4,15.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2665,Eritherium,59.2,6.8,11.62,,,
SIRENIA,5,14.3,7,22.6,31.4,25,34.4,52.2,37.9,66.5,27.2,12.6,38.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,438,Prorastomus,56,41.3,59.2,,,
Boreoeutheria,5419,83.5,73.1,94.8,92,82.9,107.6,96.1,92.9,98.4,83.8,82.8,84.9,1,81,74,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Laurasiatheria,2456,75.1,66.3,84.1,84.6,78.5,93,87.8,85,90.5,76,74.9,77,2,75,68,82,117.1,103.2,134.9,157.6,147.8,166.5,NA,NA,NA,NA,NA,,,
EULIPOTYPHLA,491,74.3,65.4,83.6,77.3,70.7,85.8,82.5,79.8,85.3,61.5,60.9,62,3,56,44,69,NA,NA,NA,NA,NA,NA,1442,Litolestes,61.7,61.6,83.8,Now as the Erinaceidae + Soricidae fossil,,
PHOLIDOTA,8,27.1,17.9,38.2,25.3,16.9,35.7,19.1,7.3,46.9,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,Cryptomanis,48.6,NA,NA,crown fossils NA,,
CARNIVORA,298,40.2,33.9,47.9,54.7,47.4,60.6,63.4,59.8,67.1,54.2,52.3,56,3,44,35,61,NA,NA,NA,NA,NA,NA,8877,Pappictidops,66,38,66,,,
Caniformes,172,34.5,28.6,40.4,46.5,39.6,52.1,59.2,55.8,62.6,41.8,34.6,47.8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,56,,,
Feliformes,126,27.2,22.3,32.2,39.7,33.4,45.9,42.5,37.2,47.9,48.5,45.5,51.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
PERISSODACTYLA,24,38.7,32.6,45,56.8,55.1,61,55.8,51.1,61,52.6,41.8,61,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8948,Paschatherium,59.2,55.5,61.6,,,
ARTIODACTYLA,348,58.4,50.3,67.1,65.4,62.3,68.5,70.7,67.6,73.7,61.4,60.7,62.3,3,54,47,60,NA,NA,NA,NA,NA,NA,16374,Basilosaurus,66,52.5,66,,,
Ruminantia,225,34,29.1,41.3,40.3,35.1,46.4,30.2,26.5,34.5,38.7,34.3,42.9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Whippomorpha,95,39.3,32.7,46.4,53.7,51.1,58.2,52.2,41.9,62.6,48.1,45.9,50.1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5,61.6,,,
Cetacea,91,25.9,15.2,38.6,29.4,13.4,35.1,30.2,26.5,34.5,34.4,33.7,36,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,47.8,,,
CHIROPTERA,1287,57.1,48.7,66,66.5,62.3,71.3,71.2,68,74.3,59.2,57.7,60.7,3,55,43,65,NA,NA,NA,NA,NA,NA,770,Ageina,56,47.8,66,,,
Yangochiroptera,902,51.9,45.3,58.8,56.3,52.2,61.3,NA,NA,NA,50.7,46.1,54.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,61.6,,,
Yinpterochiroptera,385,50.5,41.4,60.3,62.9,58.6,66.8,NA,NA,NA,53.4,49.2,56.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Euarchontoglires,2963,77,67.8,87.4,83.3,74.1,97.8,91.8,90,93.8,75.7,74.8,76.7,2,76,69,85,115.1,103.9,131.7,149.4,137.4,163.9,NA,NA,NA,NA,NA,,,
Primatomorpha,480,70.4,61.7,79.8,82,73.7,97.4,88.5,85.9,91,74.1,73.2,75.1,2.5,65,58,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.2,83.8,,,
SCANDENTIA,20,52.8,38.1,68.4,55.9,45,63.9,31.7,29.9,34.7,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Eodendrogale,48.6,34,66,,,
DERMOPTERA,2,9.6,3.3,16.5,7.4,4.5,13.2,15,10.2,19.9,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,Elpidophorus,63.3,NA,NA,crown fossils NA,,
PRIMATES,458,67.1,57.6,76.9,71.5,64.3,78.4,84.5,81.9,87.1,68.2,67.3,69.2,3,58,52,65,NA,NA,NA,NA,NA,NA,3181,Pandemonium,66,38,66,,,
Catarrhini,152,20.7,17,24.6,20.6,17,22.7,36.6,33.8,39.5,26.3,25.3,27.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.55,38,,,
Platyrrhini,161,17,14.2,20.1,14.6,11.2,18.4,24.5,21.4,28.3,16.2,10.3,22.1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,37.3,,,
Strepsirrhini,135,49.6,42.2,57,55.1,50.2,58.7,75.5,71.3,79.6,55.1,53.4,56.8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,56,,,
Glires,2483,72.5,64.4,81.1,79.5,71.5,94.1,88.9,87.8,90.1,70.8,69.9,71.8,2.5,73,66,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,,,
LAGOMORPHA,91,50.9,47.6,56,50.2,47.4,56.9,64.3,60,68.7,47.9,45.9,49.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,Aktashmys,56,53.7,61.6,,,
RODENTIA,2392,67.9,60.5,75.2,69,64.1,74.8,82.8,80.2,85.4,64.4,63.5,65.3,3,67,61,73,NA,NA,NA,NA,NA,NA,15928,Asiaparamys,58.7,56,66,,,
Guinea_pig-related,304,61.7,53,69.3,61.1,56.1,68.3,56.5,52,68.5,32.3,19.5,43.2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.94,56,,,
Mouse-related,1768,65,58.4,71.6,65.1,60.7,70,81,78.4,84.5,60,55.1,56.7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,66,,,
Squirrel-related,320,49.8,42.1,57.4,60.5,55.5,64.2,80.1,78.2,81.1,52.8,42.7,58.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,61.6,,,
