"","taxon","node","MCC_height","richness","heightMedian","heightMean","height_95._HPD_MIN","height_95._HPD_MAX"
"1","Afroth.",11370,82.432095939,92,80.18,80.03,63.98,94.52
"2","Euarchontoglires",8375,74.189713614,2963,76.71,77,67.84,87.35
"3","Laurasiatheria",5920,80.567654614,2456,75.03,75.11,66.31,84.13
"4","Marsupialia",11461,87.988127624,362,79,79.41,67.92,92.77
"5","Monotremata",5913,50.463858114,5,49.55,50.26,43.86,58.77
"6","Xenart.",11338,73.774772254,33,66.73,67.37,52.96,83.85
"7","Afrotheria",11370,82.432095939,92,80.18,80.03,63.98,94.52
"8","Camelidae",6438,8.49279824199996,7,9.58,9.57,7.06,12.17
"9","Caniformes",6911,35.173339535,172,34.22,34.53,28.62,40.42
"10","Catarrhini",8704,20.935174901,152,20.69,20.7,17.02,24.64
"11","Dasyuromorphia",11599,37.40453086,78,33.6,34.05,27.71,40.88
"12","Dermoptera",8378,11.257428744,2,9.03,9.59,3.27,16.47
"13","Didelphimorphia",11469,42.654882085,106,38.09,38.26,31.3,45.15
"14","Diprodontia",11677,57.202170996,146,48.56,48.74,41.11,57.52
"15","Erinaceidae",6388,55.253089483,24,46.65,46.72,39.11,53.72
"16","Feliformes",6786,26.410707314,126,26.97,27.21,22.3,32.16
"17","Guinea_pig-related",9177,66.232805283,304,61.81,61.69,53.03,69.3
"18","Lagomorpha",11247,47.723104894,91,50.26,50.92,47.6,56.03
"19","Monotremata",5913,50.463858114,5,49.55,50.26,43.86,58.77
"20","Mouse-related",9480,60.979522614,1768,65.02,65,58.36,71.61
"21","Notoryctemorphia",11577,7.44065192799999,2,6.13,6.19,3.63,8.95
"22","Paucituberculata",11462,19.511652364,7,16.36,16.4,12.34,20.29
"23","Peramelemorphia",11578,65.53782829,22,58.36,58.64,49.45,68.91
"24","Perissodactyla",6414,41.915481124,24,38.45,38.69,32.58,45.03
"25","Pholidota",7082,29.541092474,8,26.17,27.09,17.93,38.18
"26","Platyrrhini",8544,17.170051109,161,16.96,17.01,14.21,20.07
"27","Ruminantia",6560,34.5205411049999,225,33.71,34.03,29.07,41.32
"28","Scandentia",8379,47.745701384,20,52.1,52.8,38.05,68.38
"29","Solenodontidae",5922,5.297242082,3,5.75,10.9,0.15,39.59
"30","Soricidae",5969,48.009720323,420,46.7,47.21,39.51,55.16
"31","Squirrel-related",8858,60.796469599,320,49.66,49.84,42.14,57.39
"32","Strepsirrhini",8399,47.994056736,135,49.52,49.64,42.15,56.97
"33","Suina",6445,24.723159456,21,26.17,26.24,21.3,31.09
"34","Talpidae",5925,43.568351067,44,40.74,40.55,32.77,47.67
"35","Tarsiiformes",8534,12.825027169,10,15.21,15.69,11.43,19.69
"36","Whippomorpha",6466,40.5330743649999,95,39.04,39.32,32.73,46.44
"37","Xenarthra",11338,73.774772254,33,66.73,67.37,52.96,83.85
"38","Yangochiroptera",7090,50.764252614,902,51.7,51.92,45.31,58.79
"39","Yinpterochiroptera",7991,45.805077379,385,50.24,50.46,41.44,60.26
"40","AFROSORICIDA",11407,68.644360793,55,70,70.37,56.48,85.78
"41","CARNIVORA",6785,40.459815454,298,39.79,40.23,33.9,47.88
"42","CETARTIODACTYLA",6437,58.624422302,348,58.06,58.39,50.3,67.12
"43","CHIROPTERA",7089,55.103620614,1287,56.79,57.05,48.67,66.03
"44","CINGULATA",11339,42.174723124,21,37.2,37.56,27.69,47.88
"45","DASYUROMORPHIA",11599,37.40453086,78,33.6,34.05,27.71,40.88
"46","DERMOPTERA",8378,11.257428744,2,9.03,9.59,3.27,16.47
"47","DIDELPHIMORPHIA",11469,42.654882085,106,38.09,38.26,31.3,45.15
"48","DIPROTODONTIA",11677,57.202170996,146,48.56,48.74,41.11,57.52
