Species_Name,tiplabel,gen,fam,ord,clade,higher,MSW3_sciName_matched,genes,extinct.,samp,PC
Abditomys_latidens,Abditomys_latidens_MURIDAE_RODENTIA,Abditomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Abditomys_latidens,0,0,imputed,PC11_Muridae
Abeomelomys_sevia,Abeomelomys_sevia_MURIDAE_RODENTIA,Abeomelomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Abeomelomys_sevia,5,0,sampled,PC11_Muridae
Abrawayaomys_chebezi,Abrawayaomys_chebezi_CRICETIDAE_RODENTIA,Abrawayaomys,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,NA,0,0,imputed,PC12_Cricetidae
Abrawayaomys_ruschii,Abrawayaomys_ruschii_CRICETIDAE_RODENTIA,Abrawayaomys,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Abrawayaomys_ruschii,0,0,imputed,PC12_Cricetidae
Abrocoma_bennettii,Abrocoma_bennettii_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Guinea_pig-related,Euarchontoglires,Abrocoma_bennettii,23,0,sampled,PC14_GuineaPigRelated
Abrocoma_boliviensis,Abrocoma_boliviensis_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Guinea_pig-related,Euarchontoglires,Abrocoma_boliviensis,1,0,sampled,PC14_GuineaPigRelated
Abrocoma_budini,Abrocoma_budini_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Guinea_pig-related,Euarchontoglires,Abrocoma_budini,0,0,imputed,PC14_GuineaPigRelated
Abrocoma_cinerea,Abrocoma_cinerea_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Guinea_pig-related,Euarchontoglires,Abrocoma_cinerea,5,0,sampled,PC14_GuineaPigRelated
Abrocoma_famatina,Abrocoma_famatina_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Guinea_pig-related,Euarchontoglires,Abrocoma_famatina,0,0,imputed,PC14_GuineaPigRelated
Abrocoma_shistacea,Abrocoma_shistacea_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Guinea_pig-related,Euarchontoglires,Abrocoma_shistacea,0,0,imputed,PC14_GuineaPigRelated
Abrocoma_uspallata,Abrocoma_uspallata_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Guinea_pig-related,Euarchontoglires,Abrocoma_uspallata,0,0,imputed,PC14_GuineaPigRelated
Abrocoma_vaccarum,Abrocoma_vaccarum_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Guinea_pig-related,Euarchontoglires,Abrocoma_vaccarum,0,0,imputed,PC14_GuineaPigRelated
Abrothrix_andinus,Abrothrix_andinus_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_andinus,6,0,sampled,PC12_Cricetidae
Abrothrix_hershkovitzi,Abrothrix_hershkovitzi_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_hershkovitzi,1,0,sampled,PC12_Cricetidae
Abrothrix_illuteus,Abrothrix_illuteus_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_illuteus,2,0,sampled,PC12_Cricetidae
Abrothrix_jelskii,Abrothrix_jelskii_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_jelskii,6,0,sampled,PC12_Cricetidae
Abrothrix_lanosus,Abrothrix_lanosus_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_lanosus,2,0,sampled,PC12_Cricetidae
Abrothrix_longipilis,Abrothrix_longipilis_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_longipilis,5,0,sampled,PC12_Cricetidae
Abrothrix_manni,Abrothrix_manni_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,NA,0,0,imputed,PC12_Cricetidae
Abrothrix_markhami,Abrothrix_markhami_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_markhami,1,0,sampled,PC12_Cricetidae
Abrothrix_olivaceus,Abrothrix_olivaceus_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_olivaceus,5,0,sampled,PC12_Cricetidae
Abrothrix_sanborni,Abrothrix_sanborni_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_sanborni,2,0,sampled,PC12_Cricetidae
Acerodon_celebensis,Acerodon_celebensis_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Acerodon_celebensis,5,0,sampled,PC19_Yinpterochiroptera
Acerodon_humilis,Acerodon_humilis_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Acerodon_humilis,0,0,imputed,PC19_Yinpterochiroptera
Acerodon_jubatus,Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Acerodon_jubatus,1,0,sampled,PC19_Yinpterochiroptera
Acerodon_leucotis,Acerodon_leucotis_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Acerodon_leucotis,0,0,imputed,PC19_Yinpterochiroptera
Acerodon_mackloti,Acerodon_mackloti_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Acerodon_mackloti,0,0,imputed,PC19_Yinpterochiroptera
Acinonyx_jubatus,Acinonyx_jubatus_FELIDAE_CARNIVORA,Acinonyx,FELIDAE,CARNIVORA,Feliformes,Laurasiatheria,Acinonyx_jubatus,7,0,sampled,PC22_Carnivora
Acomys_airensis,Acomys_airensis_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_airensis,0,0,imputed,PC11_Muridae
Acomys_cahirinus,Acomys_cahirinus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_cahirinus,9,0,sampled,PC11_Muridae
Acomys_cilicicus,Acomys_cilicicus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_cilicicus,1,0,sampled,PC11_Muridae
Acomys_cineraceus,Acomys_cineraceus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_cineraceus,0,0,imputed,PC11_Muridae
Acomys_dimidiatus,Acomys_dimidiatus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_dimidiatus,1,0,sampled,PC11_Muridae
Acomys_ignitus,Acomys_ignitus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_ignitus,6,0,sampled,PC11_Muridae
Acomys_johannis,Acomys_johannis_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_johannis,1,0,sampled,PC11_Muridae
Acomys_kempi,Acomys_kempi_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_kempi,0,0,imputed,PC11_Muridae
Acomys_louisae,Acomys_louisae_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_louisae,0,0,imputed,PC11_Muridae
Acomys_minous,Acomys_minous_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_minous,1,0,sampled,PC11_Muridae
Acomys_mullah,Acomys_mullah_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_mullah,0,0,imputed,PC11_Muridae
Acomys_muzei,Acomys_muzei_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,NA,1,0,sampled,PC11_Muridae
Acomys_nesiotes,Acomys_nesiotes_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_nesiotes,1,0,sampled,PC11_Muridae
Acomys_ngurui,Acomys_ngurui_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,NA,1,0,sampled,PC11_Muridae
Acomys_percivali,Acomys_percivali_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_percivali,2,0,sampled,PC11_Muridae
Acomys_russatus,Acomys_russatus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_russatus,7,0,sampled,PC11_Muridae
Acomys_seurati,Acomys_seurati_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_seurati,0,0,imputed,PC11_Muridae
Acomys_spinosissimus,Acomys_spinosissimus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_spinosissimus,2,0,sampled,PC11_Muridae
Acomys_subspinosus,Acomys_subspinosus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_subspinosus,0,0,imputed,PC11_Muridae
Acomys_wilsoni,Acomys_wilsoni_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Acomys_wilsoni,2,0,sampled,PC11_Muridae
Aconaemys_fuscus,Aconaemys_fuscus_OCTODONTIDAE_RODENTIA,Aconaemys,OCTODONTIDAE,RODENTIA,Guinea_pig-related,Euarchontoglires,Aconaemys_fuscus,2,0,sampled,PC14_GuineaPigRelated
Aconaemys_porteri,Aconaemys_porteri_OCTODONTIDAE_RODENTIA,Aconaemys,OCTODONTIDAE,RODENTIA,Guinea_pig-related,Euarchontoglires,Aconaemys_porteri,1,0,sampled,PC14_GuineaPigRelated
Aconaemys_sagei,Aconaemys_sagei_OCTODONTIDAE_RODENTIA,Aconaemys,OCTODONTIDAE,RODENTIA,Guinea_pig-related,Euarchontoglires,Aconaemys_sagei,2,0,sampled,PC14_GuineaPigRelated
Acrobates_pygmaeus,Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA,Acrobates,ACROBATIDAE,DIPROTODONTIA,Diprodontia,Marsupialia,Acrobates_pygmaeus,21,0,sampled,PC1_Marsupials
Addax_nasomaculatus,Addax_nasomaculatus_BOVIDAE_CETARTIODACTYLA,Addax,BOVIDAE,CETARTIODACTYLA,Ruminantia,Laurasiatheria,Addax_nasomaculatus,4,0,sampled,PC20_Cetartiodactyla
Aegialomys_galapagoensis,Aegialomys_galapagoensis_CRICETIDAE_RODENTIA,Aegialomys,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,NA,2,0,sampled,PC12_Cricetidae
Aegialomys_xanthaeolus,Aegialomys_xanthaeolus_CRICETIDAE_RODENTIA,Aegialomys,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,NA,4,0,sampled,PC12_Cricetidae
Aepeomys_lugens,Aepeomys_lugens_CRICETIDAE_RODENTIA,Aepeomys,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Aepeomys_lugens,1,0,sampled,PC12_Cricetidae
Aepeomys_reigi,Aepeomys_reigi_CRICETIDAE_RODENTIA,Aepeomys,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Aepeomys_reigi,0,0,imputed,PC12_Cricetidae
Aepyceros_melampus,Aepyceros_melampus_BOVIDAE_CETARTIODACTYLA,Aepyceros,BOVIDAE,CETARTIODACTYLA,Ruminantia,Laurasiatheria,Aepyceros_melampus,1,0,sampled,PC20_Cetartiodactyla
Aepyprymnus_rufescens,Aepyprymnus_rufescens_POTOROIDAE_DIPROTODONTIA,Aepyprymnus,POTOROIDAE,DIPROTODONTIA,Diprodontia,Marsupialia,Aepyprymnus_rufescens,27,0,sampled,PC1_Marsupials
Aeretes_melanopterus,Aeretes_melanopterus_SCIURIDAE_RODENTIA,Aeretes,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Aeretes_melanopterus,1,0,sampled,PC13_SquirrelRelated
Aeromys_tephromelas,Aeromys_tephromelas_SCIURIDAE_RODENTIA,Aeromys,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Aeromys_tephromelas,1,0,sampled,PC13_SquirrelRelated
Aeromys_thomasi,Aeromys_thomasi_SCIURIDAE_RODENTIA,Aeromys,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Aeromys_thomasi,0,0,imputed,PC13_SquirrelRelated
Aethalops_aequalis,Aethalops_aequalis_PTEROPODIDAE_CHIROPTERA,Aethalops,PTEROPODIDAE,CHIROPTERA,Yinpterochiroptera,Laurasiatheria,Aethalops_aequalis,2,0,sampled,PC19_Yinpterochiroptera
